aX,aY,aZ,gX,gY,gZ
0.657,0.179,-0.759,-5.798,0.793,-4.15
0.656,0.172,-0.771,-3.113,-3.174,-2.258
0.64,0.16,-0.781,-0.732,-6.104,-0.366
0.638,0.148,-0.796,0.671,-7.385,0.916
0.637,0.143,-0.816,2.197,-6.958,2.136
0.634,0.138,-0.834,4.211,-5.31,2.747
0.634,0.136,-0.839,5.859,-2.563,2.991
0.643,0.128,-0.842,6.287,1.16,3.906
0.647,0.125,-0.836,5.798,5.371,5.798
0.654,0.124,-0.83,5.981,8.545,7.568
0.652,0.122,-0.824,6.897,10.498,8.423
0.649,0.108,-0.801,8.118,11.353,8.972
0.642,0.103,-0.787,7.874,12.207,9.033
0.634,0.101,-0.788,7.935,12.695,8.606
0.628,0.106,-0.794,9.155,12.939,7.874
0.619,0.114,-0.811,10.498,13.489,7.385
0.615,0.119,-0.826,11.902,14.832,6.836
0.619,0.123,-0.834,13.123,17.029,6.409
-0.491,1.09,-0.667,16.724,18.921,23.743
-0.507,1.21,-0.716,13.977,10.437,18.372
-0.549,1.356,-0.777,11.047,-1.892,11.719
-0.593,1.51,-0.854,7.874,-17.639,2.197
-0.614,1.713,-0.939,2.93,-35.461,-8.667
-0.625,1.935,-1.102,-5.859,-53.101,-20.996
-0.677,2.162,-1.299,-17.334,-72.632,-36.499
-0.737,2.374,-1.469,-31.86,-90.515,-58.899
-0.77,2.578,-1.624,-51.697,-101.929,-88.928
-0.777,2.753,-1.766,-78.552,-109.253,-122.314
-0.737,2.886,-1.828,-108.337,-113.953,-154.053
-0.634,2.949,-1.8,-138.977,-113.403,-179.932
-0.51,2.957,-1.735,-170.105,-110.291,-197.327
-0.41,2.924,-1.639,-199.951,-108.643,-206.116
-0.357,2.877,-1.511,-225.647,-109.497,-208.191
-0.361,2.81,-1.353,-246.643,-113.22,-202.087
-0.433,2.678,-1.191,-260.376,-121.338,-185.974
-0.627,2.467,-1.009,-263.794,-136.658,-162.048
-0.892,2.161,-0.743,-256.165,-155.029,-135.437
-1.176,1.773,-0.467,-242.676,-169.495,-107.727
-1.482,1.351,-0.178,-229.004,-180.054,-83.374
-1.776,0.89,0.118,-213.928,-185.547,-66.956
-2.024,0.437,0.425,-195.923,-180.847,-58.716
-2.205,0.004,0.78,-181.213,-163.269,-57.983
-2.208,-0.389,1.159,-172.913,-134.521,-56.03
-1.984,-0.76,1.65,-164.368,-98.633,-45.349
-1.45,-1.062,2.135,-156.128,-63.232,-33.63
-0.755,-1.304,2.416,-153.076,-43.945,-22.522
-0.044,-1.439,2.345,-152.588,-50.293,-10.132
0.555,-1.485,1.989,-148.682,-77.698,-2.319
0.922,-1.426,1.448,-137.817,-112.671,1.831
1.086,-1.366,0.883,-119.568,-141.724,4.395
1.118,-1.301,0.354,-99.182,-155.151,6.653
1.107,-1.204,-0.08,-82.031,-149.475,8.85
1.096,-1.062,-0.449,-71.594,-126.953,9.521
1.09,-0.89,-0.684,-67.444,-95.642,8.85
