aX,aY,aZ,gX,gY,gZ
0.424,-0.994,0.263,-24.353,-1.953,0.549
0.414,-0.98,0.288,-21.301,-6.287,-2.319
0.409,-0.966,0.3,-17.273,-9.583,-4.211
0.417,-0.962,0.285,-13.184,-10.315,-4.456
0.426,-0.968,0.278,-9.705,-9.644,-4.395
0.45,-0.972,0.287,-7.996,-8.667,-5.737
0.486,-0.96,0.302,-7.08,-8.179,-8.728
0.519,-0.955,0.323,-6.653,-7.935,-11.536
0.552,-0.943,0.333,-5.92,-8.789,-15.015
0.558,-0.926,0.318,-3.967,-10.681,-19.287
0.54,-0.934,0.311,-1.221,-13,-22.339
0.519,-0.941,0.3,1.099,-15.503,-25.33
0.497,-0.923,0.271,2.563,-17.761,-27.832
0.479,-0.928,0.266,3.845,-18.127,-28.137
0.466,-0.933,0.262,3.845,-19.47,-27.954
0.45,-0.921,0.25,4.517,-21.912,-27.283
0.425,-0.923,0.244,7.996,-23.56,-25.879
0.405,-0.94,0.249,13.55,-23.865,-23.926
0.393,-0.954,0.257,19.958,-21.667,-22.705
0.4,-0.956,0.26,26.978,-18.127,-23.865
0.416,-0.943,0.253,32.837,-14.587,-26.672
0.434,-0.932,0.246,36.377,-11.353,-28.87
0.441,-0.913,0.242,36.621,-9.583,-29.541
0.436,-0.892,0.248,33.936,-8.606,-29.907
0.395,-0.856,0.255,29.724,-8.362,-31.128
0.335,-0.82,0.294,25.085,-8.179,-31.006
0.292,-0.797,0.346,21.057,-7.751,-30.457
0.291,-0.773,0.368,18.433,-6.531,-30.029
0.324,-0.753,0.376,16.479,-6.836,-27.893
0.37,-0.732,0.363,16.113,-9.399,-23.743
0.405,-0.733,0.334,16.602,-12.512,-18.982
0.366,-0.776,0.319,17.639,-16.907,-14.954
0.31,-0.807,0.297,18.311,-20.874,-13.733
0.266,-0.81,0.26,17.212,-21.301,-16.663
0.183,-0.85,0.265,16.174,-16.785,-20.386
0.093,-0.863,0.28,16.418,-10.254,-24.719
0.069,-0.838,0.279,18.799,-1.465,-30.396
0.13,-0.822,0.271,21.423,8.301,-34.668
0.229,-0.812,0.287,24.719,14.526,-33.997
0.286,-0.789,0.27,28.687,15.076,-29.358
0.309,-0.808,0.241,32.532,10.01,-23.865
0.296,-0.862,0.225,34.424,0.61,-19.043
0.251,-0.924,0.197,32.898,-8.545,-16.907
0.169,-0.971,0.167,26.062,-15.686,-15.869
0.114,-0.976,0.151,13.123,-18.982,-15.381
0.119,-0.947,0.132,0.366,-15.869,-16.113
0.152,-0.923,0.147,-6.348,-8.118,-17.639
0.196,-0.896,0.166,-7.751,-0.854,-21.973
0.244,-0.873,0.176,-7.141,4.761,-26.55
0.26,-0.868,0.21,-6.836,7.324,-28.32
0.239,-0.881,0.249,-5.493,6.348,-28.198
0.203,-0.862,0.251,-2.258,1.831,-29.114
0.166,-0.855,0.229,2.014,-4.395,-29.907
0.11,-0.871,0.227,2.991,-10.498,-27.71
0.076,-0.869,0.228,-1.831,-16.663,-23.682
